ss,bill_sa,mass,wing,billd,billw,billl,tarsus,time,obs,island
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,1.401401401,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,1.034367701,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,2.569235903,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,4.104104104,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,1.201201201,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,1.301301301,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,0.734067401,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,3.870537204,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,2.969636303,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,1.134467801,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,0.600600601,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,2.802802803,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,1.134467801,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,3.436770103,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,1.301301301,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,2.235568902,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,1.634968302,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,1.101101101,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,1.401401401,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,0.633967301,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,1.935268602,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,1.067734401,60,MI
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,1.634968302,60,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,1.735068402,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,1.101101101,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,1.868535202,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,1.901901902,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,1.935268602,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,1.301301301,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,0.800800801,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,0.767434101,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,1.801801802,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,1.801801802,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,1.034367701,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,1.034367701,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,1.901901902,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,1.301301301,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,0.633967301,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,7.474140807,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,3.069736403,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,1.234567901,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,1.368034701,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,5.038371705,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,3.636970304,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,4.337671004,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,0.3670337,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,4.404404404,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,2.068735402,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,1.067734401,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,2.535869203,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,3.870537204,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,7.440774107,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,4.904904905,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,2.936269603,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,2.369035702,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,1.334668001,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,4.471137804,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,2.369035702,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,2.168835502,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,5.905905906,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,7.407407407,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,2.602602603,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,1.568234902,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,3.169836503,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,2.202202202,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,3.036369703,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,1.668335002,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,2.902902903,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,2.202202202,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,2.068735402,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,1.668335002,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,4.504504505,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,2.369035702,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,3.169836503,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,1.735068402,53,MI
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,3.903903904,53,MI
288,70.6,19.6,66.06,5.41,4.45,9.12,20.22,4.437771104,18,MI
